Game ID,Date,Status,League ID,League Name,Home Team,Away Team,Home Score,Away Score,Periods
154901,2023-09-03T17:00:00+00:00,Finished,226,African Championship,Egypt,Burundi,3,0,"{'first': {'home': 25, 'away': 11}, 'second': {'home': 25, 'away': 8}, 'third': {'home': 25, 'away': 10}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154902,2023-09-04T09:00:00+00:00,Finished,226,African Championship,Libya,Ghana,3,1,"{'first': {'home': 25, 'away': 23}, 'second': {'home': 18, 'away': 25}, 'third': {'home': 25, 'away': 15}, 'fourth': {'home': 25, 'away': 20}, 'fifth': {'home': None, 'away': None}}"
154903,2023-09-04T13:00:00+00:00,Finished,226,African Championship,Morocco,Rwanda,3,0,"{'first': {'home': 25, 'away': 17}, 'second': {'home': 25, 'away': 18}, 'third': {'home': 26, 'away': 24}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154904,2023-09-04T13:00:00+00:00,Finished,226,African Championship,Tunisia,Mali,3,0,"{'first': {'home': 25, 'away': 8}, 'second': {'home': 25, 'away': 14}, 'third': {'home': 25, 'away': 7}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154905,2023-09-04T15:00:00+00:00,Finished,226,African Championship,Chad,Tanzania,3,0,"{'first': {'home': 25, 'away': 19}, 'second': {'home': 33, 'away': 31}, 'third': {'home': 25, 'away': 23}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154906,2023-09-04T15:00:00+00:00,Finished,226,African Championship,Kenya,Cameroon,1,3,"{'first': {'home': 22, 'away': 25}, 'second': {'home': 20, 'away': 25}, 'third': {'home': 26, 'away': 24}, 'fourth': {'home': 17, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
154907,2023-09-05T07:00:00+00:00,Finished,226,African Championship,Burundi,Algeria,0,3,"{'first': {'home': 10, 'away': 25}, 'second': {'home': 9, 'away': 25}, 'third': {'home': 18, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154908,2023-09-05T07:00:00+00:00,Finished,226,African Championship,Mali,Tanzania,1,3,"{'first': {'home': 18, 'away': 25}, 'second': {'home': 22, 'away': 25}, 'third': {'home': 25, 'away': 17}, 'fourth': {'home': 24, 'away': 26}, 'fifth': {'home': None, 'away': None}}"
154909,2023-09-05T09:00:00+00:00,Finished,226,African Championship,Ghana,Cameroon,0,3,"{'first': {'home': 19, 'away': 25}, 'second': {'home': 17, 'away': 25}, 'third': {'home': 19, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154920,2023-09-05T09:00:00+00:00,Finished,226,African Championship,Gambia,Rwanda,1,3,"{'first': {'home': 11, 'away': 25}, 'second': {'home': 11, 'away': 25}, 'third': {'home': 25, 'away': 20}, 'fourth': {'home': 24, 'away': 26}, 'fifth': {'home': None, 'away': None}}"
154911,2023-09-05T13:00:00+00:00,Finished,226,African Championship,Senegal,Morocco,0,3,"{'first': {'home': 17, 'away': 25}, 'second': {'home': 21, 'away': 25}, 'third': {'home': 12, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154912,2023-09-05T13:00:00+00:00,Finished,226,African Championship,Tunisia,Chad,3,0,"{'first': {'home': 25, 'away': 10}, 'second': {'home': 25, 'away': 10}, 'third': {'home': 25, 'away': 19}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154910,2023-09-05T15:00:00+00:00,Finished,226,African Championship,Libya,Kenya,3,0,"{'first': {'home': 25, 'away': 23}, 'second': {'home': 25, 'away': 22}, 'third': {'home': 25, 'away': 12}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154913,2023-09-06T09:00:00+00:00,Finished,226,African Championship,Rwanda,Senegal,3,0,"{'first': {'home': 25, 'away': 21}, 'second': {'home': 25, 'away': 16}, 'third': {'home': 25, 'away': 17}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154921,2023-09-06T09:00:00+00:00,Finished,226,African Championship,Morocco,Gambia,3,0,"{'first': {'home': 25, 'away': 20}, 'second': {'home': 25, 'away': 23}, 'third': {'home': 25, 'away': 15}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154914,2023-09-06T11:00:00+00:00,Finished,226,African Championship,Chad,Mali,3,0,"{'first': {'home': 26, 'away': 24}, 'second': {'home': 25, 'away': 17}, 'third': {'home': 25, 'away': 19}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154915,2023-09-06T11:00:00+00:00,Finished,226,African Championship,Tanzania,Tunisia,0,3,"{'first': {'home': 10, 'away': 25}, 'second': {'home': 13, 'away': 25}, 'third': {'home': 17, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154917,2023-09-06T13:00:00+00:00,Finished,226,African Championship,Cameroon,Libya,1,3,"{'first': {'home': 25, 'away': 27}, 'second': {'home': 22, 'away': 25}, 'third': {'home': 25, 'away': 20}, 'fourth': {'home': 23, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
154918,2023-09-06T13:00:00+00:00,Finished,226,African Championship,Kenya,Ghana,3,2,"{'first': {'home': 23, 'away': 25}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 16, 'away': 25}, 'fourth': {'home': 25, 'away': 17}, 'fifth': {'home': 15, 'away': 11}}"
154916,2023-09-06T15:00:00+00:00,Finished,226,African Championship,Algeria,Egypt,3,0,"{'first': {'home': 25, 'away': 21}, 'second': {'home': 25, 'away': 22}, 'third': {'home': 25, 'away': 19}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
154919,2023-09-07T09:00:00+00:00,Finished,226,African Championship,Senegal,Gambia,2,3,"{'first': {'home': 25, 'away': 22}, 'second': {'home': 14, 'away': 25}, 'third': {'home': 19, 'away': 25}, 'fourth': {'home': 27, 'away': 25}, 'fifth': {'home': 13, 'away': 15}}"
155157,2023-09-08T10:00:00+00:00,Finished,226,African Championship,Cameroon,Burundi,3,0,"{'first': {'home': 25, 'away': 14}, 'second': {'home': 25, 'away': 14}, 'third': {'home': 25, 'away': 13}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155158,2023-09-08T10:00:00+00:00,Finished,226,African Championship,Rwanda,Tanzania,3,1,"{'first': {'home': 25, 'away': 22}, 'second': {'home': 27, 'away': 29}, 'third': {'home': 25, 'away': 21}, 'fourth': {'home': 25, 'away': 12}, 'fifth': {'home': None, 'away': None}}"
155159,2023-09-08T12:00:00+00:00,Finished,226,African Championship,Chad,Gambia,3,1,"{'first': {'home': 24, 'away': 26}, 'second': {'home': 25, 'away': 12}, 'third': {'home': 25, 'away': 22}, 'fourth': {'home': 25, 'away': 16}, 'fifth': {'home': None, 'away': None}}"
155160,2023-09-08T12:00:00+00:00,Finished,226,African Championship,Tunisia,Senegal,3,0,"{'first': {'home': 25, 'away': 10}, 'second': {'home': 25, 'away': 13}, 'third': {'home': 25, 'away': 18}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155161,2023-09-08T14:00:00+00:00,Finished,226,African Championship,Algeria,Ghana,3,0,"{'first': {'home': 25, 'away': 22}, 'second': {'home': 25, 'away': 21}, 'third': {'home': 25, 'away': 20}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155162,2023-09-08T14:00:00+00:00,Finished,226,African Championship,Morocco,Mali,3,0,"{'first': {'home': 25, 'away': 14}, 'second': {'home': 25, 'away': 10}, 'third': {'home': 25, 'away': 15}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155163,2023-09-08T16:00:00+00:00,Finished,226,African Championship,Egypt,Kenya,3,0,"{'first': {'home': 25, 'away': 17}, 'second': {'home': 25, 'away': 19}, 'third': {'home': 27, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155164,2023-09-09T10:00:00+00:00,Finished,226,African Championship,Senegal,Burundi,3,0,"{'first': {'home': 25, 'away': 19}, 'second': {'home': 27, 'away': 25}, 'third': {'home': 25, 'away': 23}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155165,2023-09-09T12:00:00+00:00,Finished,226,African Championship,Algeria,Rwanda,3,0,"{'first': {'home': 25, 'away': 18}, 'second': {'home': 27, 'away': 25}, 'third': {'home': 25, 'away': 16}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155166,2023-09-09T12:00:00+00:00,Finished,226,African Championship,Ghana,Tanzania,3,1,"{'first': {'home': 19, 'away': 25}, 'second': {'home': 25, 'away': 20}, 'third': {'home': 25, 'away': 16}, 'fourth': {'home': 25, 'away': 12}, 'fifth': {'home': None, 'away': None}}"
155167,2023-09-09T14:00:00+00:00,Finished,226,African Championship,Mali,Kenya,0,3,"{'first': {'home': 24, 'away': 26}, 'second': {'home': 15, 'away': 25}, 'third': {'home': 23, 'away': 25}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
155168,2023-09-09T14:00:00+00:00,Finished,226,African Championship,Tunisia,Cameroon,1,3,"{'first': {'home': 25, 'away': 22}, 'second': {'home': 20, 'away': 25}, 'third': {'home': 25, 'away': 27}, 'fourth': {'home': 17, 'away': 25}, 'fifth': {'home': None, 'away': None}}"
155169,2023-09-09T16:00:00+00:00,Finished,226,African Championship,Libya,Chad,3,0,"{'first': {'home': 25, 'away': 20}, 'second': {'home': 26, 'away': 24}, 'third': {'home': 25, 'away': 17}, 'fourth': {'home': None, 'away': None}, 'fifth': {'home': None, 'away': None}}"
