League ID,Name,Type,Logo,Country ID,Country Name,Country Code
226,African Championship,Cup,https://media.api-sports.io/volley/leagues/226.png,53,Africa,
225,African Championship Women,Cup,https://media.api-sports.io/volley/leagues/225.png,53,Africa,
228,African Club Championship,Cup,https://media.api-sports.io/volley/leagues/228.png,53,Africa,
227,African Club Championship Women,Cup,https://media.api-sports.io/volley/leagues/227.png,53,Africa,
2,Copa ACLAV,Cup,https://media.api-sports.io/volley/leagues/2.png,1,Argentina,AR
1,Copa Master,Cup,https://media.api-sports.io/volley/leagues/1.png,1,Argentina,AR
236,Asian Championship,Cup,https://media.api-sports.io/volley/leagues/236.png,54,Asia,
238,Asian Championship U18,Cup,https://media.api-sports.io/volley/leagues/238.png,54,Asia,
237,Asian Championship U19 Women,Cup,https://media.api-sports.io/volley/leagues/237.png,54,Asia,
240,Asian Championship U20,Cup,https://media.api-sports.io/volley/leagues/240.png,54,Asia,
242,Asian Championship U23,Cup,https://media.api-sports.io/volley/leagues/242.png,54,Asia,
243,Asian Championship U23 Women,Cup,https://media.api-sports.io/volley/leagues/243.png,54,Asia,
230,Asian Championship Women,Cup,https://media.api-sports.io/volley/leagues/230.png,54,Asia,
241,Asian Club Championship,Cup,https://media.api-sports.io/volley/leagues/241.png,54,Asia,
239,Asian Club Championship Women,Cup,https://media.api-sports.io/volley/leagues/239.png,54,Asia,
229,Asian Cup,Cup,https://media.api-sports.io/volley/leagues/229.png,54,Asia,
231,Asian Cup Women,Cup,https://media.api-sports.io/volley/leagues/231.png,54,Asia,
233,Asian Games,Cup,https://media.api-sports.io/volley/leagues/233.png,54,Asia,
232,Asian Games Women,Cup,https://media.api-sports.io/volley/leagues/232.png,54,Asia,
234,Southeast Asian Games,Cup,https://media.api-sports.io/volley/leagues/234.png,54,Asia,
235,Southeast Asian Games Women,Cup,https://media.api-sports.io/volley/leagues/235.png,54,Asia,
8,Austria Cup,Cup,https://media.api-sports.io/volley/leagues/8.png,3,Austria,AT
9,Austria Cup Women,Cup,https://media.api-sports.io/volley/leagues/9.png,3,Austria,AT
22,Belgian Cup,Cup,https://media.api-sports.io/volley/leagues/22.png,6,Belgium,BE
21,Belgian Cup Women,Cup,https://media.api-sports.io/volley/leagues/21.png,6,Belgium,BE
17,Super Cup,Cup,https://media.api-sports.io/volley/leagues/17.png,6,Belgium,BE
18,Super Cup Women,Cup,https://media.api-sports.io/volley/leagues/18.png,6,Belgium,BE
29,Bulgaria Cup,Cup,https://media.api-sports.io/volley/leagues/29.png,9,Bulgaria,BG
28,Bulgaria Cup Women,Cup,https://media.api-sports.io/volley/leagues/28.png,9,Bulgaria,BG
30,Supercup,Cup,https://media.api-sports.io/volley/leagues/30.png,9,Bulgaria,BG
41,Czech Cup,Cup,https://media.api-sports.io/volley/leagues/41.png,13,Czech-Republic,CZ
40,Czech Cup Women,Cup,https://media.api-sports.io/volley/leagues/40.png,13,Czech-Republic,CZ
181,Super Cup,Cup,https://media.api-sports.io/volley/leagues/181.png,13,Czech-Republic,CZ
182,Super Cup Women,Cup,https://media.api-sports.io/volley/leagues/182.png,13,Czech-Republic,CZ
